================================List of subscription================================
Subscription ID,Subscription Type,Duration,Start Date,End Date
45776,Yearly,23 Year,08/14/1990,08/14/2013
45777,Daily,26 Day,06/26/1975,07/22/1975
45778,Monthly,54 Month,04/04/1982,10/04/1986
45781,Yearly,17 Year,05/22/1981,05/22/1998
45780,Monthly,3 Month,12/04/1977,03/04/1978
41503,Yearly,17 Year,08/14/1980,08/14/1997
41501,Daily,27 Day,04/25/1982,05/22/1982
41506,Monthly,22 Month,04/03/1978,02/03/1980
41507,Monthly,29 Month,09/03/1971,02/03/1974
41504,Daily,38 Day,01/27/1972,03/05/1972
45788,Daily,13 Day,12/27/1967,01/09/1968
45786,Yearly,4 Year,01/19/1979,01/19/1983
45784,Yearly,14 Year,05/04/1984,05/04/1998
45785,Monthly,44 Month,08/11/1983,04/11/1987
45782,Monthly,6 Month,05/21/1985,11/21/1985
41511,Daily,23 Day,10/01/1989,10/24/1989
45790,Daily,35 Day,03/26/1982,04/30/1982
41513,Monthly,28 Month,03/05/1973,07/05/1975
41514,Yearly,24 Year,02/06/1981,02/06/2005
41515,One_Off,1 Day,06/09/1966,06/09/1966
41516,One_Off,1 Day,09/04/1989,09/04/1989
41510,Daily,32 Day,03/15/1983,04/16/1983
45797,Monthly,14 Month,07/11/1971,09/11/1972
41509,Yearly,16 Year,10/06/1982,10/06/1998
45798,Monthly,14 Month,05/06/1967,07/06/1968
45799,Yearly,12 Year,07/14/1975,07/14/1987
45794,Yearly,10 Year,05/24/1967,05/24/1977
45795,Yearly,20 Year,06/13/1985,06/13/2005
45725,One_Off,1 Day,01/25/1990,01/25/1990
45727,One_Off,1 Day,07/03/1990,07/03/1990
45729,Monthly,81 Month,05/16/1978,02/16/1985
45728,One_Off,1 Day,04/06/1984,04/06/1984
17904,Monthly,86 Month,03/24/1967,05/24/1974
17901,Yearly,8 Year,02/19/1980,02/19/1988
17909,Yearly,30 Year,10/18/1983,10/18/2013
17906,One_Off,1 Day,03/11/1971,03/11/1971
45733,Monthly,33 Month,01/28/1971,10/28/1973
45732,One_Off,1 Day,09/18/1978,09/18/1978
45738,Yearly,26 Year,03/11/1982,03/11/2008
45737,Daily,55 Day,12/22/1984,02/15/1985
45736,Monthly,76 Month,07/19/1983,11/19/1989
45735,Monthly,49 Month,04/24/1981,05/24/1985
45739,Yearly,13 Year,12/20/1972,12/20/1985
17913,Yearly,19 Year,07/28/1980,07/28/1999
17914,One_Off,1 Day,05/07/1979,05/07/1979
17911,One_Off,1 Day,04/27/1983,04/27/1983
17910,Monthly,68 Month,05/28/1967,01/28/1973
17916,One_Off,1 Day,02/06/1976,02/06/1976
45742,Monthly,39 Month,03/12/1980,06/12/1983
45745,Monthly,63 Month,10/22/1983,01/22/1989
45744,Monthly,28 Month,06/27/1976,10/27/1978
45741,Yearly,26 Year,10/20/1969,10/20/1995
45740,Daily,14 Day,01/04/1981,01/18/1981
45747,Yearly,12 Year,02/03/1967,02/03/1979
45749,Daily,39 Day,09/17/1971,10/26/1971
45748,Monthly,23 Month,10/03/1969,09/03/1971
17922,One_Off,1 Day,06/11/1969,06/11/1969
17920,Monthly,90 Month,07/10/1980,01/10/1988
17925,Yearly,18 Year,12/25/1969,12/25/1987
17924,Daily,6 Day,09/23/1980,09/29/1980
17923,Monthly,75 Month,12/22/1986,03/22/1993
17929,Daily,37 Day,04/22/1988,05/29/1988
45756,One_Off,1 Day,04/18/1984,04/18/1984
45755,One_Off,1 Day,04/05/1982,04/05/1982
45753,Monthly,65 Month,10/04/1974,03/04/1980
45750,Yearly,33 Year,04/28/1974,04/28/2007
45758,Daily,6 Day,10/11/1988,10/17/1988
17931,One_Off,1 Day,12/01/1979,12/01/1979
17932,Yearly,16 Year,08/13/1983,08/13/1999
17935,Monthly,9 Month,02/07/1967,11/07/1967
17939,Yearly,20 Year,05/05/1983,05/05/2003
17938,Monthly,30 Month,07/03/1989,01/03/1992
17949,Yearly,38 Year,07/19/1973,07/19/2011
17946,Monthly,79 Month,08/04/1982,03/04/1989
17943,Daily,42 Day,11/28/1967,01/09/1968
17941,Yearly,20 Year,04/09/1980,04/09/2000
17951,Daily,19 Day,10/28/1973,11/16/1973
17958,Monthly,71 Month,02/20/1987,01/20/1993
17959,Monthly,55 Month,04/05/1981,11/05/1985
17953,Monthly,89 Month,05/16/1977,10/16/1984
17954,Yearly,20 Year,08/05/1966,08/05/1986
17955,Daily,51 Day,11/17/1971,01/07/1972
45706,Yearly,20 Year,04/05/1990,04/05/2010
45707,Daily,21 Day,01/02/1969,01/23/1969
45708,Monthly,3 Month,01/17/1971,04/17/1971
45702,Monthly,66 Month,06/06/1988,12/06/1993
17962,Monthly,9 Month,05/11/1983,02/11/1984
45703,Monthly,37 Month,12/27/1988,01/27/1992
33398,Yearly,23 Year,09/06/1966,09/06/1989
17961,Monthly,29 Month,03/23/1969,08/23/1971
17960,Yearly,5 Year,03/14/1974,03/14/1979
33397,Monthly,20 Month,11/28/1982,07/28/1984
45705,Yearly,16 Year,08/21/1990,08/21/2006
45701,Daily,22 Day,05/16/1967,06/07/1967
17965,One_Off,1 Day,04/16/1990,04/16/1990
33394,Yearly,28 Year,07/04/1984,07/04/2012
17966,Monthly,29 Month,06/24/1973,11/24/1975
33395,Daily,30 Day,12/13/1966,01/12/1967
33392,Yearly,16 Year,01/08/1989,01/08/2005
17963,Yearly,36 Year,02/06/1973,02/06/2009
17967,Yearly,4 Year,06/03/1976,06/03/1980
45719,Monthly,70 Month,05/13/1966,03/13/1972
33389,Yearly,12 Year,04/02/1988,04/02/2000
45718,Yearly,25 Year,08/27/1967,08/27/1992
33386,Monthly,24 Month,10/01/1974,10/01/1976
17971,Yearly,12 Year,06/25/1983,06/25/1995
45715,Yearly,30 Year,11/14/1983,11/14/2013
45716,Monthly,70 Month,12/23/1976,10/23/1982
33385,Yearly,32 Year,02/13/1980,02/13/2012
45713,Yearly,22 Year,10/07/1989,10/07/2011
17973,Daily,50 Day,01/06/1983,02/25/1983
45714,Yearly,6 Year,06/04/1976,06/04/1982
33387,Monthly,41 Month,10/02/1978,03/02/1982
33382,Daily,40 Day,03/27/1969,05/06/1969
33380,Monthly,30 Month,05/16/1979,11/16/1981
43481,Monthly,26 Month,06/08/1985,08/08/1987
43482,Monthly,35 Month,07/20/1984,06/20/1987
43480,Monthly,3 Month,10/24/1966,01/24/1967
22905,Daily,47 Day,08/21/1969,10/07/1969
33956,Yearly,15 Year,12/16/1980,12/16/1995
33957,Yearly,29 Year,08/14/1969,08/14/1998
43488,Daily,35 Day,03/27/1967,05/01/1967
22903,Daily,33 Day,07/19/1970,08/21/1970
17280,Monthly,24 Month,05/02/1980,05/02/1982
43487,One_Off,1 Day,09/07/1981,09/07/1981
43486,Yearly,44 Year,12/18/1967,12/18/2011
43485,Monthly,39 Month,11/13/1987,02/13/1991
43484,One_Off,1 Day,06/20/1971,06/20/1971
33959,Yearly,7 Year,11/27/1983,11/27/1990
17287,Monthly,4 Month,01/09/1977,05/09/1977
33953,Daily,14 Day,10/12/1971,10/26/1971
17284,Yearly,16 Year,01/09/1979,01/09/1995
33950,Monthly,43 Month,10/02/1986,05/02/1990
33951,Yearly,41 Year,07/13/1973,07/13/2014
17285,Monthly,90 Month,10/03/1968,04/03/1976
43499,Monthly,55 Month,06/07/1980,01/07/1985
33943,Daily,5 Day,02/15/1982,02/20/1982
17291,Daily,42 Day,09/23/1986,11/04/1986
17293,One_Off,1 Day,06/23/1971,06/23/1971
33945,Yearly,18 Year,02/02/1981,02/02/1999
33947,One_Off,1 Day,09/19/1966,09/19/1966
43496,Monthly,57 Month,07/06/1988,04/06/1993
17299,Yearly,6 Year,04/01/1987,04/01/1993
17297,Monthly,85 Month,01/25/1979,02/25/1986
33941,Monthly,89 Month,10/08/1986,03/08/1994
17298,Yearly,26 Year,10/04/1970,10/04/1996
22918,Daily,12 Day,02/17/1984,02/29/1984
22923,Yearly,14 Year,07/03/1975,07/03/1989
43463,One_Off,1 Day,04/19/1969,04/19/1969
22921,One_Off,1 Day,06/19/1971,06/19/1971
33979,Yearly,39 Year,12/18/1973,12/18/2012
17261,Daily,19 Day,07/19/1978,08/07/1978
17264,One_Off,1 Day,08/03/1976,08/03/1976
33975,Yearly,23 Year,02/26/1981,02/26/2004
33973,One_Off,1 Day,12/26/1990,12/26/1990
17263,Daily,24 Day,10/17/1975,11/10/1975
17268,Daily,42 Day,11/13/1990,12/25/1990
22920,Daily,29 Day,04/15/1966,05/14/1966
17269,Yearly,10 Year,05/07/1980,05/07/1990
17267,One_Off,1 Day,03/14/1989,03/14/1989
22908,Monthly,75 Month,01/10/1968,04/10/1974
22909,Yearly,25 Year,08/14/1972,08/14/1997
43470,Daily,36 Day,03/04/1979,04/09/1979
43471,Monthly,61 Month,02/19/1973,03/19/1978
43473,Daily,6 Day,12/22/1988,12/28/1988
43472,Daily,35 Day,10/01/1990,11/05/1990
43475,Yearly,10 Year,11/21/1980,11/21/1990
22913,Yearly,36 Year,06/19/1973,06/19/2009
33965,Yearly,11 Year,06/27/1988,06/27/1999
33966,Yearly,7 Year,09/14/1974,09/14/1981
17270,One_Off,1 Day,01/25/1968,01/25/1968
43476,Monthly,19 Month,09/27/1986,04/27/1988
17271,Monthly,55 Month,06/15/1988,01/15/1993
33967,Monthly,62 Month,01/17/1968,03/17/1973
17272,One_Off,1 Day,07/11/1988,07/11/1988
33968,Monthly,70 Month,02/12/1980,12/12/1985
17273,Daily,12 Day,03/16/1976,03/28/1976
17274,Monthly,40 Month,02/15/1988,06/15/1991
17275,Daily,27 Day,04/08/1989,05/05/1989
33963,Monthly,11 Month,09/26/1978,08/26/1979
17278,Yearly,22 Year,06/07/1974,06/07/1996
33960,Yearly,12 Year,08/05/1990,08/05/2002
41024,Daily,41 Day,05/17/1971,06/27/1971
17248,Daily,37 Day,04/18/1972,05/25/1972
41021,Yearly,5 Year,12/11/1983,12/11/1988
17249,Daily,20 Day,05/02/1976,05/22/1976
17247,Yearly,25 Year,04/11/1968,04/11/1993
33992,One_Off,1 Day,07/26/1969,07/26/1969
17246,Monthly,29 Month,10/01/1969,03/01/1972
33991,Yearly,27 Year,11/23/1975,11/23/2002
17245,Daily,48 Day,07/15/1985,09/01/1985
17244,Monthly,58 Month,01/09/1988,11/09/1992
33997,Monthly,46 Month,02/02/1969,12/02/1972
17243,Monthly,86 Month,12/14/1979,02/14/1987
17242,One_Off,1 Day,12/23/1975,12/23/1975
33995,Daily,15 Day,11/12/1972,11/27/1972
17241,Yearly,30 Year,05/06/1981,05/06/2011
9304,Monthly,66 Month,01/12/1973,07/12/1978
9305,Monthly,12 Month,09/22/1982,09/22/1983
9302,Yearly,32 Year,09/16/1971,09/16/2003
33999,Daily,52 Day,10/06/1970,11/27/1970
9303,Monthly,48 Month,12/19/1987,12/19/1991
9300,One_Off,1 Day,05/25/1989,05/25/1989
9301,Yearly,7 Year,11/14/1983,11/14/1990
9307,One_Off,1 Day,03/20/1982,03/20/1982
9309,One_Off,1 Day,09/12/1980,09/12/1980
41036,Monthly,8 Month,07/08/1966,03/08/1967
41034,Monthly,73 Month,01/22/1970,02/22/1976
17259,Monthly,22 Month,07/25/1975,05/25/1977
41030,Monthly,59 Month,09/07/1981,08/07/1986
17256,Monthly,18 Month,07/17/1982,01/17/1984
17255,One_Off,1 Day,11/04/1966,11/04/1966
17258,Daily,42 Day,04/13/1974,05/25/1974
17257,Yearly,43 Year,03/19/1967,03/19/2010
17252,Yearly,28 Year,10/26/1986,10/26/2014
17251,Monthly,8 Month,09/08/1967,05/08/1968
17254,Yearly,11 Year,08/15/1978,08/15/1989
33988,Yearly,25 Year,07/28/1968,07/28/1993
9313,Daily,50 Day,12/16/1987,02/04/1988
33987,Monthly,9 Month,11/27/1970,08/27/1971
9315,Daily,7 Day,06/26/1972,07/03/1972
17250,One_Off,1 Day,05/11/1966,05/11/1966
9310,Yearly,25 Year,03/25/1969,03/25/1994
9311,Monthly,5 Month,09/04/1990,02/04/1991
9312,Daily,44 Day,03/02/1971,04/15/1971
41005,One_Off,1 Day,03/12/1988,03/12/1988
9319,Yearly,11 Year,03/22/1987,03/22/1998
9318,Yearly,48 Year,08/06/1966,08/06/2014
41008,Daily,38 Day,11/12/1983,12/20/1983
17228,Monthly,10 Month,04/04/1980,02/04/1981
17229,Monthly,36 Month,08/02/1988,08/02/1991
41000,Monthly,42 Month,12/23/1983,06/23/1987
41001,Yearly,18 Year,10/12/1980,10/12/1998
41003,Daily,22 Day,12/11/1970,01/02/1971
17221,Yearly,40 Year,04/06/1970,04/06/2010
17225,Monthly,7 Month,08/07/1968,03/07/1969
17224,Yearly,43 Year,08/08/1967,08/08/2010
17223,Yearly,3 Year,10/16/1986,10/16/1989
9322,One_Off,1 Day,01/17/1967,01/17/1967
9324,One_Off,1 Day,06/17/1989,06/17/1989
41018,Monthly,32 Month,10/24/1985,06/24/1988
17237,Daily,40 Day,02/27/1967,04/08/1967
17239,One_Off,1 Day,06/28/1976,06/28/1976
41015,Monthly,72 Month,03/01/1966,03/01/1972
41012,Monthly,59 Month,04/18/1982,03/18/1987
41013,Yearly,26 Year,04/09/1986,04/09/2012
17230,Yearly,29 Year,01/17/1982,01/17/2011
17232,Monthly,13 Month,05/25/1990,06/25/1991
17231,One_Off,1 Day,01/04/1986,01/04/1986
17234,Daily,5 Day,04/10/1982,04/15/1982
9330,One_Off,1 Day,07/24/1967,07/24/1967
9333,Yearly,9 Year,10/17/1988,10/17/1997
9337,Monthly,65 Month,10/12/1972,03/12/1978
9338,Yearly,37 Year,08/15/1969,08/15/2006
43400,Monthly,57 Month,05/07/1973,02/07/1978
9346,Monthly,68 Month,11/24/1976,07/24/1982
9349,Daily,3 Day,12/18/1982,12/21/1982
9348,Yearly,23 Year,12/02/1973,12/02/1996
49908,Daily,37 Day,01/09/1967,02/15/1967
49907,Daily,31 Day,09/17/1987,10/18/1987
9342,Yearly,15 Year,01/16/1985,01/16/2000
9344,Monthly,3 Month,05/22/1986,08/22/1986
49903,Yearly,22 Year,09/19/1989,09/19/2011
43407,Yearly,42 Year,11/17/1972,11/17/2014
39249,Yearly,8 Year,03/28/1985,03/28/1993
49902,Daily,45 Day,12/21/1986,02/04/1987
49900,Yearly,18 Year,12/15/1990,12/15/2008
47687,Monthly,25 Month,12/01/1988,01/01/1991
41060,Yearly,15 Year,10/18/1978,10/18/1993
39241,Monthly,58 Month,11/09/1967,09/09/1972
41069,Monthly,31 Month,05/16/1977,12/16/1979
39240,Yearly,24 Year,02/28/1981,02/28/2005
41068,Monthly,55 Month,08/14/1978,03/14/1983
39243,One_Off,1 Day,12/04/1983,12/04/1983
47681,Monthly,89 Month,02/02/1967,07/02/1974
39245,Daily,54 Day,02/10/1985,04/05/1985
47682,Monthly,27 Month,04/13/1971,07/13/1973
41064,Daily,6 Day,07/28/1969,08/03/1969
47683,Monthly,72 Month,03/20/1985,03/20/1991
39247,Daily,23 Day,12/04/1987,12/27/1987
39246,Monthly,30 Month,03/09/1977,09/09/1979
9339,Monthly,72 Month,02/19/1972,02/19/1978
43413,Yearly,37 Year,10/01/1973,10/01/2010
43412,Monthly,36 Month,09/11/1989,09/11/1992
9359,Monthly,40 Month,11/18/1969,03/18/1973
9358,One_Off,1 Day,03/28/1978,03/28/1978
9356,Daily,5 Day,12/18/1980,12/23/1980
41070,Yearly,31 Year,08/06/1971,08/06/2002
47699,One_Off,1 Day,07/12/1986,07/12/1986
9352,Daily,15 Day,09/15/1986,09/30/1986
49911,Monthly,13 Month,06/13/1978,07/13/1979
41072,One_Off,1 Day,12/22/1978,12/22/1978
47696,Yearly,8 Year,11/27/1973,11/27/1981
43418,Monthly,5 Month,03/25/1971,08/25/1971
49913,One_Off,1 Day,07/24/1985,07/24/1985
43417,Monthly,90 Month,10/22/1977,04/22/1985
49910,Monthly,41 Month,01/16/1981,06/16/1984
39254,Daily,8 Day,07/24/1972,08/01/1972
41079,One_Off,1 Day,07/02/1980,07/02/1980
47690,Yearly,23 Year,07/17/1986,07/17/2009
47691,Yearly,10 Year,04/10/1989,04/10/1999
41078,Yearly,41 Year,03/16/1967,03/16/2008
39253,Daily,18 Day,10/24/1978,11/11/1978
39251,Daily,44 Day,10/12/1978,11/25/1978
39258,Daily,18 Day,10/23/1974,11/10/1974
41075,Daily,22 Day,04/03/1986,04/25/1986
47695,Daily,13 Day,01/01/1968,01/14/1968
41077,Yearly,6 Year,07/14/1989,07/14/1995
47692,One_Off,1 Day,08/21/1976,08/21/1976
39256,Yearly,32 Year,02/13/1982,02/13/2014
41076,Monthly,45 Month,01/13/1989,10/13/1992
39250,Daily,52 Day,09/13/1971,11/04/1971
9364,Yearly,12 Year,04/09/1972,04/09/1984
9367,Daily,43 Day,04/13/1982,05/26/1982
9366,Monthly,24 Month,02/09/1988,02/09/1990
9369,One_Off,1 Day,05/21/1988,05/21/1988
9368,Monthly,47 Month,03/20/1983,02/20/1987
47668,One_Off,1 Day,10/10/1982,10/10/1982
47669,One_Off,1 Day,12/05/1972,12/05/1972
9361,Yearly,33 Year,11/22/1968,11/22/2001
9360,Daily,13 Day,05/08/1974,05/21/1974
9363,Monthly,75 Month,02/23/1972,05/23/1978
39267,Monthly,23 Month,06/09/1970,05/09/1972
41044,Monthly,11 Month,11/04/1980,10/04/1981
41043,Monthly,8 Month,08/18/1985,04/18/1986
47661,One_Off,1 Day,04/23/1968,04/23/1968
41041,Yearly,6 Year,01/18/1990,01/18/1996
47662,Daily,13 Day,01/13/1975,01/26/1975
39268,Monthly,45 Month,04/24/1966,01/24/1970
41048,Daily,48 Day,01/12/1967,03/01/1967
39263,One_Off,1 Day,05/14/1984,05/14/1984
41047,Monthly,7 Month,07/10/1972,02/10/1973
39262,Monthly,37 Month,04/18/1970,05/18/1973
39265,One_Off,1 Day,01/15/1973,01/15/1973
41046,Monthly,59 Month,12/24/1978,11/24/1983
39264,One_Off,1 Day,01/22/1976,01/22/1976
39261,One_Off,1 Day,03/09/1975,03/09/1975
9378,Yearly,24 Year,08/07/1987,08/07/2011
9377,One_Off,1 Day,06/14/1987,06/14/1987
9379,Yearly,29 Year,07/06/1980,07/06/2009
47679,One_Off,1 Day,12/04/1981,12/04/1981
9373,One_Off,1 Day,04/17/1981,04/17/1981
9372,Yearly,5 Year,12/19/1971,12/19/1976
47674,One_Off,1 Day,03/26/1975,03/26/1975
41052,Monthly,35 Month,11/09/1988,10/09/1991
47670,One_Off,1 Day,11/21/1977,11/21/1977
39277,Daily,3 Day,06/16/1986,06/19/1986
39276,Monthly,35 Month,06/07/1967,05/07/1970
39274,Yearly,25 Year,03/14/1977,03/14/2002
41059,Daily,37 Day,08/18/1978,09/24/1978
39272,Daily,3 Day,11/13/1967,11/16/1967
39271,Daily,20 Day,04/10/1985,04/30/1985
39270,Daily,5 Day,05/23/1980,05/28/1980
49946,Yearly,29 Year,05/07/1981,05/07/2010
49947,Monthly,74 Month,07/04/1988,09/04/1994
9383,One_Off,1 Day,06/15/1987,06/15/1987
49944,Daily,11 Day,10/14/1967,10/25/1967
9385,Daily,30 Day,01/24/1981,02/23/1981
43447,Yearly,36 Year,03/28/1974,03/28/2010
49942,Daily,33 Day,04/04/1971,05/07/1971
9380,Monthly,6 Month,08/15/1979,02/15/1980
49940,Daily,41 Day,08/27/1986,10/07/1986
49941,Daily,41 Day,04/16/1972,05/27/1972
43443,Yearly,28 Year,09/21/1981,09/21/2009
43446,Yearly,6 Year,08/09/1971,08/09/1977
9386,Daily,42 Day,11/21/1984,01/02/1985
9387,One_Off,1 Day,09/18/1972,09/18/1972
43440,Daily,55 Day,02/14/1987,04/10/1987
43441,Monthly,80 Month,05/20/1983,01/20/1990
9388,Yearly,5 Year,02/09/1986,02/09/1991
43442,Yearly,37 Year,06/05/1966,06/05/2003
39281,Daily,7 Day,07/13/1966,07/20/1966
39283,One_Off,1 Day,07/04/1968,07/04/1968
39285,Yearly,8 Year,03/24/1977,03/24/1985
39288,Monthly,85 Month,12/28/1978,01/28/1986
39289,One_Off,1 Day,12/09/1966,12/09/1966
9395,One_Off,1 Day,03/01/1976,03/01/1976
49956,Yearly,21 Year,05/14/1987,05/14/2008
9393,Monthly,6 Month,04/26/1976,10/26/1976
49957,Monthly,7 Month,06/26/1972,01/26/1973
49958,One_Off,1 Day,09/17/1975,09/17/1975
9392,Yearly,36 Year,03/17/1970,03/17/2006
49953,Monthly,75 Month,03/20/1981,06/20/1987
9390,One_Off,1 Day,02/27/1989,02/27/1989
43456,Daily,18 Day,05/06/1971,05/24/1971
43457,Yearly,30 Year,07/19/1973,07/19/2003
9399,Daily,39 Day,01/20/1970,02/28/1970
49959,Monthly,31 Month,07/10/1985,02/10/1988
43453,Daily,13 Day,09/20/1981,10/03/1981
9397,Yearly,24 Year,09/14/1972,09/14/1996
39291,Daily,27 Day,06/26/1983,07/23/1983
39292,Yearly,8 Year,03/06/1989,03/06/1997
39297,One_Off,1 Day,03/05/1982,03/05/1982
39298,Monthly,8 Month,05/15/1986,01/15/1987
39295,Yearly,13 Year,03/18/1977,03/18/1990
49950,Yearly,7 Year,07/17/1971,07/17/1978
39296,Monthly,47 Month,10/12/1989,09/12/1993
39299,One_Off,1 Day,01/27/1969,01/27/1969
41080,Monthly,77 Month,05/16/1981,10/16/1987
49921,Monthly,59 Month,04/23/1975,03/23/1980
43426,Daily,39 Day,12/22/1972,01/30/1973
41084,One_Off,1 Day,02/02/1970,02/02/1970
49924,Monthly,67 Month,11/06/1979,06/06/1985
41083,Yearly,3 Year,02/16/1974,02/16/1977
49922,Daily,33 Day,09/24/1989,10/27/1989
49923,Monthly,25 Month,11/12/1986,12/12/1988
49928,Monthly,86 Month,02/17/1977,04/17/1984
49926,Monthly,58 Month,01/12/1988,11/12/1992
49927,One_Off,1 Day,09/14/1974,09/14/1974
43420,Yearly,21 Year,08/05/1985,08/05/2006
43421,Monthly,67 Month,04/17/1968,11/17/1973
43423,Yearly,23 Year,06/03/1976,06/03/1999
41087,One_Off,1 Day,09/08/1985,09/08/1985
41085,Monthly,80 Month,12/04/1983,08/04/1990
41089,Monthly,14 Month,02/06/1981,04/06/1982
43438,Monthly,66 Month,12/25/1988,06/25/1994
43439,One_Off,1 Day,03/18/1967,03/18/1967
43436,One_Off,1 Day,03/16/1980,03/16/1980
49933,Monthly,76 Month,02/13/1978,06/13/1984
41092,Yearly,3 Year,06/24/1989,06/24/1992
49934,Monthly,44 Month,11/03/1978,07/03/1982
41095,Daily,33 Day,08/01/1979,09/03/1979
49936,One_Off,1 Day,05/07/1971,05/07/1971
43431,Yearly,16 Year,01/19/1967,01/19/1983
43435,Yearly,41 Year,11/02/1970,11/02/2011
41096,Yearly,5 Year,07/22/1976,07/22/1981
41097,Daily,50 Day,09/07/1981,10/27/1981
49872,Yearly,20 Year,09/05/1987,09/05/2007
49873,One_Off,1 Day,06/16/1990,06/16/1990
49871,Yearly,18 Year,09/13/1986,09/13/2004
47737,Yearly,20 Year,09/25/1975,09/25/1995
47739,Monthly,71 Month,04/27/1969,03/27/1975
49877,One_Off,1 Day,02/11/1985,02/11/1985
47733,Daily,40 Day,06/20/1975,07/30/1975
49876,Yearly,34 Year,04/18/1973,04/18/2007
47736,Daily,38 Day,10/02/1977,11/09/1977
49875,Daily,28 Day,09/04/1980,10/02/1980
47730,One_Off,1 Day,07/19/1968,07/19/1968
47732,Monthly,25 Month,06/14/1969,07/14/1971
49878,One_Off,1 Day,11/09/1988,11/09/1988
47729,Monthly,29 Month,04/19/1981,09/19/1983
47727,One_Off,1 Day,01/16/1971,01/16/1971
49864,Daily,29 Day,07/20/1974,08/18/1974
47725,One_Off,1 Day,09/20/1987,09/20/1987
47724,Monthly,46 Month,09/01/1980,07/01/1984
49863,One_Off,1 Day,05/07/1985,05/07/1985
47723,Yearly,25 Year,10/06/1989,10/06/2014
49866,Monthly,5 Month,02/07/1979,07/07/1979
49865,Yearly,21 Year,08/05/1989,08/05/2010
47722,Yearly,13 Year,08/17/1967,08/17/1980
47721,Monthly,83 Month,05/17/1966,04/17/1973
47720,One_Off,1 Day,01/19/1973,01/19/1973
49869,Yearly,25 Year,06/03/1984,06/03/2009
49850,Yearly,17 Year,09/24/1980,09/24/1997
47715,Daily,13 Day,08/22/1966,09/04/1966
47717,Yearly,6 Year,04/18/1983,04/18/1989
47719,Monthly,66 Month,04/12/1967,10/12/1972
49859,Monthly,86 Month,12/01/1977,02/01/1985
49858,Monthly,31 Month,06/19/1985,01/19/1988
47710,Monthly,52 Month,01/24/1990,05/24/1994
47712,Daily,18 Day,10/02/1972,10/20/1972
47711,Yearly,28 Year,05/15/1977,05/15/2005
49853,Monthly,78 Month,04/04/1967,10/04/1973
49840,Monthly,12 Month,04/18/1975,04/18/1976
10592,One_Off,1 Day,06/23/1974,06/23/1974
47707,Yearly,11 Year,09/25/1977,09/25/1988
47706,Yearly,10 Year,09/22/1987,09/22/1997
47705,Daily,39 Day,06/05/1977,07/14/1977
49846,Monthly,47 Month,01/23/1971,12/23/1974
10596,One_Off,1 Day,08/12/1988,08/12/1988
49848,Monthly,26 Month,06/28/1968,08/28/1970
10595,Monthly,10 Month,04/11/1967,02/11/1968
47703,One_Off,1 Day,06/01/1976,06/01/1976
49842,Monthly,70 Month,11/18/1974,09/18/1980
47702,One_Off,1 Day,09/02/1972,09/02/1972
49841,Monthly,28 Month,06/11/1969,10/11/1971
10599,Monthly,39 Month,08/02/1976,11/02/1979
47700,Yearly,15 Year,02/05/1981,02/05/1996
10581,Monthly,9 Month,11/01/1976,08/01/1977
39211,Yearly,19 Year,10/06/1970,10/06/1989
47771,Monthly,4 Month,04/10/1966,08/10/1966
39214,Daily,42 Day,06/28/1977,08/09/1977
39210,One_Off,1 Day,08/09/1966,08/09/1966
47777,Yearly,17 Year,08/01/1990,08/01/2007
10588,Monthly,21 Month,12/18/1966,09/18/1968
39219,Daily,35 Day,04/08/1984,05/13/1984
47773,Yearly,19 Year,08/08/1974,08/08/1993
39216,Yearly,13 Year,10/23/1967,10/23/1980
45638,Daily,7 Day,09/21/1970,09/28/1970
39215,Yearly,16 Year,05/24/1989,05/24/2005
47774,One_Off,1 Day,11/25/1967,11/25/1967
45636,One_Off,1 Day,11/28/1967,11/28/1967
39218,Monthly,22 Month,12/17/1978,10/17/1980
47776,Daily,39 Day,04/14/1969,05/23/1969
10583,Monthly,53 Month,09/23/1983,02/23/1988
45635,One_Off,1 Day,05/09/1982,05/09/1982
45633,Monthly,32 Month,09/18/1989,05/18/1992
45630,Yearly,4 Year,11/25/1977,11/25/1981
45631,Daily,14 Day,02/04/1985,02/18/1985
39202,Monthly,19 Month,08/15/1976,03/15/1978
39203,Monthly,68 Month,12/21/1967,08/21/1973
47760,Yearly,28 Year,09/02/1978,09/02/2006
39200,Monthly,20 Month,12/16/1974,08/16/1976
47768,Yearly,33 Year,08/09/1978,08/09/2011
47769,One_Off,1 Day,08/07/1978,08/07/1978
10577,Yearly,42 Year,03/16/1972,03/16/2014
47766,Yearly,30 Year,12/05/1978,12/05/2008
39209,Daily,54 Day,06/23/1982,08/16/1982
39208,Yearly,34 Year,10/14/1967,10/14/2001
10571,Yearly,47 Year,12/16/1967,12/16/2014
45625,Monthly,42 Month,12/01/1983,06/01/1987
39206,Yearly,31 Year,04/08/1966,04/08/1997
47762,Monthly,81 Month,11/09/1969,08/09/1976
47763,Daily,50 Day,02/17/1978,04/08/1978
45622,Monthly,15 Month,06/11/1990,09/11/1991
10579,Yearly,23 Year,09/27/1970,09/27/1993
39230,Yearly,10 Year,12/28/1975,12/28/1985
49894,Yearly,34 Year,09/24/1978,09/24/2012
49893,One_Off,1 Day,10/17/1982,10/17/1982
49892,Monthly,21 Month,07/17/1974,04/17/1976
49891,One_Off,1 Day,10/28/1981,10/28/1981
